,,,,,,,,,,,,,,,,,,,,,,,,,,
自動,自動,買受・委託,自動,,手動,自動,,手動,,,,,自動,売却,自動,ebay,自動,,,,,,,,,手動
有在庫,20260210_sugahara_02,委託,ゲームソフト,Pokémon: Pearl Version Nintendo DS Video Games Japanese No Package,1,¥0 ,,,,,,,2026/3/9,売却,SGD8.03,shopee,ORDER0009,シンガポール,buyer_0009,買主サンプル0010,City0010,,,Address line 1 sample 0010,Address line 2 sample 0010,
,20260303_machida_01,買受,,"With shrink wrap Pokémon Card Game Scarlet & Violet Expansion Pack ""Pokémon Card 151""",1,仕入れ無,,,,,,,2026/3/10,売却,"₱6,948.00",shopee,ORDER0010,フィリピン,buyer_0010,買主サンプル0011,City0011,Region0011,Postal0011,Address line 1 sample 0011,Address line 2 sample 0011,
,20260312_machida_ph_04,買受,フィギュア,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,1,仕入れ無,,本人確認済み,,,,,2026/3/23,売却,"₱3,064.00",shopee,ORDER0011,フィリピン,buyer_0011,買主サンプル0012,City0012,Region0012,Postal0012,Address line 1 sample 0012,Address line 2 sample 0012,
2026/3/13,20260119_miyawaki_07,買受,フィギュア,Ichiban Kuji YuYu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,1,"¥5,888 ",メルカリ,,,,,,2026/3/13,売却,"₱3,598.00",shopee,ORDER0012,フィリピン,buyer_0012,買主サンプル0013,City0013,Region0013,Postal0013,Address line 1 sample 0013,Address line 2 sample 0013,
2026/3/16,20260309_sugahara_01,買受,ラジコン,Nendoroid 2793 Von Lycaon Zenless Zone Zero ZZZ Figure Good Smile Arts Shanghai,1,"¥7,186 ",Amazon,,,,,,2026/3/16,売却,"₱3,948.00",shopee,ORDER0013,フィリピン,buyer_0013,買主サンプル0014,City0014,Region0014,Postal0014,Address line 1 sample 0014,Address line 2 sample 0014,
2026/3/17,20260123_machida_04,買受,フィギュア,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,"¥10,569 ",Joshin,本人確認済み,,,,,2026/3/17,売却,"₱6,284.00",shopee,ORDER0014,フィリピン,buyer_0014,買主サンプル0015,City0015,Region0015,Postal0015,Address line 1 sample 0015,Address line 2 sample 0015,
2026/3/20,20260115_miyawaki_sg_02,買受,プラモデル,Ichiban Kuji Final Fantasy VII (FF7) Rebirth Cloud Strife Prize A Anime Game Figure,1,"¥4,999 ",yahooフリマ,,,,,,2026/3/20,売却,SDG94.70,shopee,ORDER0015,シンガポール,buyer_0015,買主サンプル0016,City0016,,,Address line 1 sample 0016,Address line 2 sample 0016,
2026/3/23,20260306_machida_ph_06,買受,プラモデル,Gundam Base Limited Sengoku Astray Gundam,1,"¥6,222 ",楽天市場（メディアワールド）,,,,,,2026/3/23,売却,"₱4,950.00",shopee,ORDER0016,フィリピン,buyer_0016,買主サンプル0017,City0017,Region0017,Postal0017,Address line 1 sample 0017,Address line 2 sample 0017,
2026/3/23,20260320_machida_ph_01,買受,フィギュア,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,1,"¥10,611 ",Amazon,,,,,,2026/3/23,売却,"₱5,412.00",shopee,ORDER0017,フィリピン,buyer_0014,買主サンプル0018,City0018,Region0018,Postal0018,Address line 1 sample 0018,Address line 2 sample 0018,
2026/3/24,20260304_miyawaki_ph_01,買受,ラジコン,Ichiban Kuji JoJo's Bizarre Adventure Stardust Crusaders Jotaro Kujoh MASTERLISE Prize A Anime Figure,1,"¥5,150 ",らしんばん,,,,,,2026/3/24,売却,"₱3,016.00",shopee,ORDER0018,フィリピン,buyer_0005,買主サンプル0019,City0019,Region0019,Postal0019,Address line 1 sample 0019,Address line 2 sample 0019,
2026/3/24,20260123_machida_ph_04_3,買受,プラモデル,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,"¥13,000 ",楽天市場（LifeStage Nana!）,,,,,,2026/3/24,売却,"₱6,547.00",shopee,ORDER0019,フィリピン,buyer_0014,買主サンプル0020,City0020,Region0020,Postal0020,Address line 1 sample 0020,Address line 2 sample 0020,
,20260312_machida_ph_04,買受,ラジコン,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,1,仕入れ無,,,,,,,2026/3/25,売却,"₱3,064.00",shopee,ORDER0020,フィリピン,buyer_0011,買主サンプル0021,City0021,Region0021,Postal0021,Address line 1 sample 0021,Address line 2 sample 0021,
,20260312_machida_ph_04,買受,フィギュア,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,1,仕入れ無,,本人確認済み,,,,,2026/3/25,売却,"₱3,064.00",shopee,ORDER0021,フィリピン,buyer_0011,買主サンプル0022,City0022,Region0022,Postal0022,Address line 1 sample 0022,Address line 2 sample 0022,
2026/3/26,20260325_machida_ph_01,買受,プラモデル,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],1,"¥8,800 ",Amazon,,,,,,2026/3/25,売却,"₱5,205.00",shopee,ORDER0022,フィリピン,buyer_0014,買主サンプル0023,City0023,Region0023,Postal0023,Address line 1 sample 0023,Address line 2 sample 0023,
,20260312_machida_ph_04,買受,プラモデル,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,1,仕入れ無,,,,,,,2026/3/27,売却,"₱3,064.00",shopee,ORDER0023,フィリピン,buyer_0011,買主サンプル0024,City0024,Region0024,Postal0024,Address line 1 sample 0024,Address line 2 sample 0024,
2026/3/30,20260316_miyawaki_ph_02,買受,ラジコン,Ichiban Kuji YuYu Hakusho Dark Tournament vol.3 Urameshi Yusuke MASTERLIZED Prize A Figure,1,"¥2,850 ",メルカリ,,,,,,2026/3/30,売却,"₱2,733.00",shopee,ORDER0024,フィリピン,buyer_0017,買主サンプル0025,City0025,Region0025,Postal0025,Address line 1 sample 0025,Address line 2 sample 0025,
2026/3/30,20260316_machida_ph_03,買受,プラモデル,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,1,"¥7,255 ",Amazon,,,,,,2026/3/30,売却,"₱3,987.00",shopee,ORDER0025,フィリピン,buyer_0018,買主サンプル0026,City0026,Region0026,Postal0026,Address line 1 sample 0026,Address line 2 sample 0026,
,20260312_machida_ph_04,買受,, MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,1,仕入れ無,,,,,,,2026/3/30,売却,"₱3,064.00",shopee,ORDER0026,フィリピン,buyer_0011,買主サンプル0027,City0027,Region0027,Postal0027,Address line 1 sample 0027,Address line 2 sample 0027,
2026/3/31,20260312_machida_ph_04,買受,フィギュア,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,1,"¥6,480 ",Amazon,,,,,,2026/3/30,売却,"₱3,064.00",shopee,ORDER0027,フィリピン,buyer_0011,買主サンプル0028,City0028,Region0028,Postal0028,Address line 1 sample 0028,Address line 2 sample 0028,
2026/3/31,20260325_machida_ph_01_2,買受,フィギュア,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],1,"¥7,920 ",Joshin,本人確認済み,,,,,2026/3/30,売却,"₱5,610.00",shopee,ORDER0028,フィリピン,buyer_0014,買主サンプル0029,City0029,Region0029,Postal0029,Address line 1 sample 0029,Address line 2 sample 0029,
,20260316_ishida_ph_01,買受,プラモデル,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,1,仕入れ無,,,,,,,2026/3/30,売却,"₱2,991.00",shopee,ORDER0029,フィリピン,buyer_0019,買主サンプル0030,City0030,Region0030,Postal0030,Address line 1 sample 0030,Address line 2 sample 0030,
2026/3/31,20260226_machida_ph_03,買受,ラジコン,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,1,"¥10,880 ",Amazon,,,,,,2026/3/31,売却,"₱5,413.00",shopee,ORDER0030,フィリピン,buyer_0020,買主サンプル0031,City0031,Region0031,Postal0031,Address line 1 sample 0031,Address line 2 sample 0031,
,20260316_miyawaki_ph_01,買受,ラジコン,Ichiban Kuji Demon Slayer Doma Prize B Figur,1,仕入れ無,,,,,,,2026/3/31,売却,"₱4,820.00",shopee,ORDER0031,フィリピン,buyer_0021,買主サンプル0032,City0032,Region0032,Postal0032,Address line 1 sample 0032,Address line 2 sample 0032,
2026/3/31,20260302_ishida_ph_02_2,買受,ラジコン,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,1,"¥7,980 ",Amazon,,,,,,2026/3/31,売却,"₱3,923.00",shopee,ORDER0032,フィリピン,buyer_0022,買主サンプル0033,City0033,Region0033,Postal0033,Address line 1 sample 0033,Address line 2 sample 0033,
2026/3/31,20260316_miyawaki_ph_01,買受,フィギュア,Ichiban Kuji Demon Slayer Doma Prize B Figure,1,"¥8,222 ",メルカリ,,,,,,2026/3/31,売却,"₱4,720.00",shopee,ORDER0033,フィリピン,buyer_0021,買主サンプル0034,City0034,Region0034,Postal0034,Address line 1 sample 0034,Address line 2 sample 0034,
2026/4/1,20260226_machida_ph_03_2,買受,ラジコン,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,1,"¥10,999 ",Amazon,,,,,,2026/4/1,売却,"₱5,413.00",shopee,ORDER0034,フィリピン,buyer_0023,買主サンプル0035,City0035,Region0035,Postal0035,Address line 1 sample 0035,Address line 2 sample 0035,
2026/4/2,20260324_machida_ph_04,買受,ラジコン,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,1,"¥15,642 ",Amazon,,,,,,2026/4/1,売却,"₱9,236.00",shopee,ORDER0035,フィリピン,buyer_0024,買主サンプル0036,City0036,Region0036,Postal0036,Address line 1 sample 0036,Address line 2 sample 0036,
2026/4/2,20260318_machida_ph_01,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],1,"¥11,000 ",Joshin,,,,,,2026/4/1,売却,"₱6,441.00",shopee,ORDER0036,フィリピン,buyer_0025,買主サンプル0037,City0037,Region0037,Postal0037,Address line 1 sample 0037,Address line 2 sample 0037,
2026/4/2,20260306_machida_ph_04,買受,ラジコン,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,1,"¥29,000 ",楽天市場（家電のSAKURA）,,,,,,2026/4/1,売却,"₱13,167.00",shopee,ORDER0037,フィリピン,buyer_0026,買主サンプル0038,City0038,Region0038,Postal0038,Address line 1 sample 0038,Address line 2 sample 0038,
2026/4/7,20260302_ishida_ph_04,買受,フィギュア,TAMASHII NATIONS S.H.Figuarts NARUTO Shippuden Shikamaru Nara -The Brain That Sees Ahead-Approximately 145mm PVC & ABS,1,"¥7,480 ",ヤマダ電機(柏テックランド現地購入),,,,,,2026/4/3,売却,"₱2,151.00",shopee,ORDER0038,フィリピン,buyer_0027,買主サンプル0039,City0039,Region0039,Postal0039,Address line 1 sample 0039,Address line 2 sample 0039,
2026/4/6,20260320_machida_ph_07,買受,プラモデル,Authentic TAMIYA 1/10 Electric RC Car Series No.470 Holiday Buggy 2010 Off-Road 58470,1,"¥7,180 ",Joshin,,,,,,2026/4/5,売却,"₱4,825.00",shopee,ORDER0039,フィリピン,buyer_0028,買主サンプル0040,City0040,Region0040,Postal0040,Address line 1 sample 0040,Address line 2 sample 0040,
,20260323_machida_ph_02,買受,フィギュア,Authentic Tamiya 1/14 Electric RC Car Series No.672 Monster Beetle Trail (GF-01TR Chassis) 58672,1,仕入れ無,,,,,,,2026/4/7,売却,"₱9,961.00",shopee,ORDER0040,フィリピン,buyer_0029,買主サンプル0041,City0041,Region0041,Postal0041,Address line 1 sample 0041,Address line 2 sample 0041,
2026/4/8,20260320_machida_ph_04,買受,ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.739 1998 Honda NSX Racing (TT-02 Chassis) 58739,1,"¥14,850 ",yahooショッピング,,,,,,2026/4/7,売却,"₱8,495.00",shopee,ORDER0041,フィリピン,buyer_0030,買主サンプル0042,City0042,Region0042,Postal0042,Address line 1 sample 0042,Address line 2 sample 0042,
2026/4/8,20260318_machida_ph_01_2,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],1,"¥11,000 ",Joshin,,,,,,2026/4/8,売却,"₱6,441.00",shopee,ORDER0042,フィリピン,buyer_0031,買主サンプル0043,City0043,Region0043,Postal0043,Address line 1 sample 0043,Address line 2 sample 0043,
2026/4/8,20260325_machida_ph_01_3,買受,ラジコン,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],1,"¥10,756 ",楽天市場（Toy&ZAKKA mimiy）,,,,,,2026/4/8,売却,"₱5,610.00",shopee,ORDER0043,フィリピン,buyer_0032,買主サンプル0044,City0044,Region0044,Postal0044,Address line 1 sample 0044,Address line 2 sample 0044,
2026/4/8,20260119_miyawaki_ph_07_2,買受,フィギュア,Ichiban Kuji YuYu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,1,"¥6,690 ",らしんばん,,,,,,2026/4/8,売却,"₱4,228.00",shopee,ORDER0044,フィリピン,buyer_0033,買主サンプル0045,City0045,Region0045,Postal0045,Address line 1 sample 0045,Address line 2 sample 0045,
2026/4/10,20260312_machida_ph_02,買受,プラモデル,RG 1/144 Blast Impulse Gundam SpecII,1,"¥6,380 ",メルカリ,,,,,,2026/4/9,売却,"₱3,818.00",shopee,ORDER0045,フィリピン,buyer_0034,買主サンプル0046,City0046,Region0046,Postal0046,Address line 1 sample 0046,Address line 2 sample 0046,
2026/4/10,20260316_ishida_ph_01,買受,フィギュア,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,1,"¥5,800 ",Amazon,,,,,,2026/4/9,売却,"₱3,007.00",shopee,ORDER0046,フィリピン,buyer_0035,買主サンプル0047,City0047,Region0047,Postal0047,Address line 1 sample 0047,Address line 2 sample 0047,
2026/4/10,20260325_machida_ph_01_4,買受,ラジコン,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],1,"¥8,800 ",Joshin,,,,,,2026/4/10,売却,"₱5,610.00",shopee,ORDER0047,フィリピン,buyer_0014,買主サンプル0048,City0048,Region0048,Postal0048,Address line 1 sample 0048,Address line 2 sample 0048,
2026/4/10,20260325_machida_ph_01_5,買受,ラジコン,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],1,"¥8,800 ",Amazon,,,,,,2026/4/10,売却,"₱5,610.00",shopee,ORDER0048,フィリピン,buyer_0014,買主サンプル0049,City0049,Region0049,Postal0049,Address line 1 sample 0049,Address line 2 sample 0049,
2026/4/13,20260323_machida_ph_01,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,1,"¥13,547 ",楽天市場（Toy&ZAKKA mimiy）,,,,,,2026/4/11,売却,"₱7,810.00",shopee,ORDER0049,フィリピン,buyer_0036,買主サンプル0050,City0050,Region0050,Postal0050,Address line 1 sample 0050,Address line 2 sample 0050,
2026/4/13,20260318_machida_ph_03,買受,,TAMIYA 1/10 Electric R/C Car Series No.570 Lancia Delta Integrale (TT-02 Chassis) Onroad 58570,1,"¥9,800 ",Amazon,,,,,,2026/4/11,売却,"₱5,792.00",shopee,ORDER0050,フィリピン,buyer_0037,買主サンプル0051,City0051,Region0051,Postal0051,Address line 1 sample 0051,Address line 2 sample 0051,
,20260320_machida_ph_01_2,買受,,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,1,仕入れ無,,,,,,,2026/4/11,売却,"₱6,549.00",shopee,ORDER0051,フィリピン,buyer_0037,買主サンプル0052,City0052,Region0052,Postal0052,Address line 1 sample 0052,Address line 2 sample 0052,
2026/4/13,20260409_machida_ph_01,買受,ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,1,"¥8,800 ",Joshin,,,,,,2026/4/11,売却,"₱5,638.00",shopee,ORDER0052,フィリピン,buyer_0037,買主サンプル0053,City0053,Region0053,Postal0053,Address line 1 sample 0053,Address line 2 sample 0053,
2026/4/13,20260318_machida_ph_01_3,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],1,"¥10,300 ",Amazon,,,,,,2026/4/12,売却,"₱6,441.00",shopee,ORDER0053,フィリピン,buyer_0037,買主サンプル0054,City0054,Region0054,Postal0054,Address line 1 sample 0054,Address line 2 sample 0054,
2026/4/13,20260213_koyanagi_09,買受,,Nintendo Gameboy Advance Pokémon Ruby Japanese No Package,1,"¥1,898 ",メルカリ,,,,,,2026/4/12,売却,SGD21.97,shopee,ORDER0054,シンガポール,buyer_0038,買主サンプル0055,City0055,,,Address line 1 sample 0055,Address line 2 sample 0055,
2026/4/13,20260318_machida_ph_01_4,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],1,"¥10,561 ",Amazon,,,,,,2026/4/13,売却,"₱6,441.00",shopee,ORDER0055,フィリピン,buyer_0039,買主サンプル0056,City0056,Region0056,Postal0056,Address line 1 sample 0056,Address line 2 sample 0056,
2026/4/14,20260219_koyanagi_02,買受,電化製品,SONY Studio monitor headphones MDR-7506,1,"¥12,980 ",SOUND HOUSE,,,,,,2026/4/14,売却,SGD153.62,shopee,ORDER0056,シンガポール,buyer_0040,買主サンプル0057,City0057,,,Address line 1 sample 0057,Address line 2 sample 0057,
2026/4/15, 20260323_machida_ph_02,買受,ラジコン,Authentic Tamiya 1/14 Electric RC Car Series No.672 Monster Beetle Trail (GF-01TR Chassis) 58672,1,"¥23,800 ",Joshin,,,,,,2026/4/15,売却,"₱9,961.00",shopee,ORDER0057,フィリピン,buyer_0041,買主サンプル0058,City0058,Region0058,Postal0058,Address line 1 sample 0058,Address line 2 sample 0058,
2026/4/16,20260410_miyawaki_ph_01,買受,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,"¥7,600 ",yahooフリマ,,,,,,2026/4/15,売却,"₱4,823.00",shopee,ORDER0058,フィリピン,buyer_0017,買主サンプル0059,City0059,Region0059,Postal0059,Address line 1 sample 0059,Address line 2 sample 0059,
2026/4/15,20260415_miyawaki_ph_03 ,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,900 ",yahooフリマ,,,,,,2026/4/15,売却,"₱4,306.00",shopee,ORDER0059,フィリピン,buyer_0042,買主サンプル0060,City0060,Region0060,Postal0060,Address line 1 sample 0060,Address line 2 sample 0060,
,20260123_machida_ph_04_4,買受,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,仕入れ無,,,,,,,2026/4/15,売却,"₱7,234.00",shopee,ORDER0060,フィリピン,buyer_0043,買主サンプル0061,City0061,Region0061,Postal0061,Address line 1 sample 0061,Address line 2 sample 0061,
2026/4/16,20260407_mizushima_ph_01,買受,プラモデル,BANDAI SPIRITS MG 1/100 Justice Gundam [CROSS CONTRAST COLORS / CLEAR GREEN] Gundam Base Event Limited Edition,1,"¥9,123 ",楽天市場（メディアワールド）,,,,,,2026/4/16,売却,"₱5,415.00",shopee,ORDER0061,フィリピン,buyer_0044,買主サンプル0062,City0062,Region0062,Postal0062,Address line 1 sample 0062,Address line 2 sample 0062,
2026/4/17,20260410_miyawaki_ph_01_2,買受,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,"¥7,500 ",yahooフリマ,,,,,,2026/4/17,売却,"₱4,823.00",shopee,ORDER0062,フィリピン,buyer_0045,買主サンプル0063,City0063,Region0063,Postal0063,Address line 1 sample 0063,Address line 2 sample 0063,
,20260410_miyawaki_ph_01_3,買受,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,仕入れ無,,,,,,,2026/4/20,売却,"₱4,823.00",shopee,ORDER0063,フィリピン,buyer_0046,買主サンプル0064,City0064,Region0064,Postal0064,Address line 1 sample 0064,Address line 2 sample 0064,
2026/4/20,20260409_machida_ph_01_2,買受,ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,1,"¥8,800 ",Joshin（A）,,,,,,2026/4/19,売却,"₱5,638.00",shopee,ORDER0064,フィリピン,buyer_0014,買主サンプル0065,City0065,Region0065,Postal0065,Address line 1 sample 0065,Address line 2 sample 0065,
2026/4/20,20260415_miyawaki_ph_03_2,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,795 ",メルカリ,,,,,,2026/4/19,売却,"₱4,559.00",shopee,ORDER0065,フィリピン,buyer_0047,買主サンプル0066,City0066,Region0066,Postal0066,Address line 1 sample 0066,Address line 2 sample 0066,
2026/4/20,20260324_machida_ph_01,買受,ラジコン,Authentic Tamiya Unisex 1/10 Electric RC Car Series No.628 Racing Fighter (DT-03 Chassis) Off-Road,1,"¥8,410 ",Joshin,,,,,,2026/4/20,売却,"₱5,761.00",shopee,ORDER0066,フィリピン,buyer_0048,買主サンプル0067,City0067,Region0067,Postal0067,Address line 1 sample 0067,Address line 2 sample 0067,
2026/4/20,20260330_machida_ph_01,買受,プラモデル,【Directly from Japan】 TAMIYA 1/35 Military Miniature Series No. 362 French Main Battle Tank Leclerc Series 2 Plastic Model 35362 (Tank),1,"¥3,200 ",Amazon,,,,,,2026/4/20,売却,"₱2,226.00",shopee,ORDER0067,フィリピン,buyer_0049,買主サンプル0068,City0068,Region0068,Postal0068,Address line 1 sample 0068,Address line 2 sample 0068,
2026/4/20,20260409_machida_ph_01_3,買受,ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,1,"¥11,000 ",yahooショッピング,,,,,,2026/4/20,売却,"₱5,638.00",shopee,ORDER0068,フィリピン,buyer_0014,買主サンプル0069,City0069,Region0069,Postal0069,Address line 1 sample 0069,Address line 2 sample 0069,
2026/3/30,20260316_machida_ph_03,買受,プラモデル,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,1,"¥7,255 ",Amazon,,,,,,2026/4/20,売却,"₱4,085.00",shopee,ORDER0069,フィリピン,buyer_0023,買主サンプル0070,City0070,Region0070,Postal0070,Address line 1 sample 0070,Address line 2 sample 0070,
2026/4/21, 20260413_machida_ph_01,買受,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,1,"¥10,979 ",Amazon,,,,,,2026/4/20,売却,"₱6,656.00",shopee,ORDER0070,フィリピン,buyer_0050,買主サンプル0071,City0071,Region0071,Postal0071,Address line 1 sample 0071,Address line 2 sample 0071,
